Brand,Product_Name,Retail_Price,Discounted_Price,Discount
Ray-Ban,RB7047,,176,
Ray-Ban,RB6335,,210,
,,,,
Oakley,Airdrop,,227,
Ray-Ban,RB3447V Round Metal,,210,
Oakley,Socket 5.5,,227,
Oakley,Holbrook RX,,187,
Oakley,Stagebeam,199,99.50,50% Off
Oakley,Port Bow,,187,
Oakley,Hex Jector (TruBridge),,187,
Ray-Ban,RB7217 Chad Optics Bio-Based,,189,
Oakley,Pitchman R Carbon - Alternate Fit,,297,
Ray-Ban,RB5445,,186,
Ray-Ban,RB6647,,210,
Ray-Ban,RB5344D,261,130.50,50% Off
Ray-Ban,RB5154 Clubmaster,,222,
Kate Spade,Hermione/G,230,161,30% Off
Dolce & Gabbana,DG5101,,288,
Gucci,GG1340O,305,259.25,15% Off
Versace,VE3373U,,316,
Versace,VE1175B,,316,
Michael Kors,MK4098BU,204,102,50% Off
Swarovski,SK2018,,261,
Vogue,VO5668F,,119,
Ray-Ban,RB7025,,210,
